"id","element_id","element_type","relation_id","to_id","to_type"
"32934","18969","Book","2","19749","Book"
"32935","19750","Book","1","18969","Book"
"32936","18969","Book","2","19750","Book"
"32937","19751","Book","1","18969","Book"
"32938","18969","Book","2","19751","Book"
"32939","19752","Book","1","18969","Book"
"32940","18969","Book","2","19752","Book"
"32941","19753","Book","1","18969","Book"
"32942","18969","Book","2","19753","Book"
"32943","19754","Book","1","18969","Book"
"32944","18969","Book","2","19754","Book"
"32945","19755","Book","1","18969","Book"
"32946","18969","Book","2","19755","Book"
"32947","19756","Book","1","18969","Book"
"32948","18969","Book","2","19756","Book"
"32949","19757","Book","1","18969","Book"
"32950","18969","Book","2","19757","Book"
"32951","19758","Book","1","18969","Book"
"32952","18969","Book","2","19758","Book"
"32953","19759","Book","1","18969","Book"
"32954","18969","Book","2","19759","Book"
"32955","19760","Book","1","18969","Book"
"32956","18969","Book","2","19760","Book"
"32957","19761","Book","1","18969","Book"
"32958","18969","Book","2","19761","Book"
"32959","19762","Book","1","18969","Book"
"32960","18969","Book","2","19762","Book"
"32961","19763","Book","1","18969","Book"
"32962","18969","Book","2","19763","Book"
"32963","19764","Book","1","18969","Book"
"32964","18969","Book","2","19764","Book"
"32965","19765","Book","1","18969","Book"
"32966","18969","Book","2","19765","Book"
"32967","19766","Book","1","18969","Book"
"32968","18969","Book","2","19766","Book"
"32969","19767","Book","1","18969","Book"
"32970","18969","Book","2","19767","Book"
"32971","19747","Book","1","19382","Book"
"32972","19382","Book","2","19747","Book"
"32973","19748","Book","1","19382","Book"
"32974","19382","Book","2","19748","Book"
"32975","19749","Book","1","19382","Book"
"32976","19382","Book","2","19749","Book"
"32977","19750","Book","1","19382","Book"
"32978","19382","Book","2","19750","Book"
"32979","19751","Book","1","19382","Book"
"32980","19382","Book","2","19751","Book"
"32981","19752","Book","1","19382","Book"
"32982","19382","Book","2","19752","Book"
"32983","19753","Book","1","19382","Book"
"32984","19382","Book","2","19753","Book"
"32985","19754","Book","1","19382","Book"
"32986","19382","Book","2","19754","Book"
"32987","19755","Book","1","19382","Book"
"32988","19382","Book","2","19755","Book"
"32989","19756","Book","1","19382","Book"
"32990","19382","Book","2","19756","Book"
"32991","19757","Book","1","19382","Book"
"32992","19382","Book","2","19757","Book"
"32993","19758","Book","1","19382","Book"
"32994","19382","Book","2","19758","Book"
"32995","19759","Book","1","19382","Book"
"32996","19382","Book","2","19759","Book"
"32997","19760","Book","1","19382","Book"
"32998","19382","Book","2","19760","Book"
"32999","19761","Book","1","19382","Book"
"33000","19382","Book","2","19761","Book"
"33001","19762","Book","1","19382","Book"
"33002","19382","Book","2","19762","Book"
"33003","19763","Book","1","19382","Book"
"33004","19382","Book","2","19763","Book"
"33005","19764","Book","1","19382","Book"
"33006","19382","Book","2","19764","Book"
"33007","19765","Book","1","19382","Book"
"33008","19382","Book","2","19765","Book"
"33009","19766","Book","1","19382","Book"
"33010","19382","Book","2","19766","Book"
"33011","19767","Book","1","19382","Book"
"33012","19382","Book","2","19767","Book"
"33013","19748","Book","1","19747","Book"
"33014","19747","Book","2","19748","Book"
"33015","19749","Book","1","19747","Book"
"33016","19747","Book","2","19749","Book"
"33017","19750","Book","1","19747","Book"
"33018","19747","Book","2","19750","Book"
"33019","19751","Book","1","19747","Book"
"33020","19747","Book","2","19751","Book"
"33021","19752","Book","1","19747","Book"
"33022","19747","Book","2","19752","Book"
"33023","19753","Book","1","19747","Book"
"33024","19747","Book","2","19753","Book"
"33025","19754","Book","1","19747","Book"
"33026","19747","Book","2","19754","Book"
"33027","19755","Book","1","19747","Book"
"33028","19747","Book","2","19755","Book"
"33029","19756","Book","1","19747","Book"
"33030","19747","Book","2","19756","Book"
"33031","19757","Book","1","19747","Book"
"33032","19747","Book","2","19757","Book"
"33033","19758","Book","1","19747","Book"
"33034","19747","Book","2","19758","Book"
"33035","19759","Book","1","19747","Book"
"33036","19747","Book","2","19759","Book"
"33037","19760","Book","1","19747","Book"
"33038","19747","Book","2","19760","Book"
"33039","19761","Book","1","19747","Book"
"33040","19747","Book","2","19761","Book"
"33041","19762","Book","1","19747","Book"
"33042","19747","Book","2","19762","Book"
"33043","19763","Book","1","19747","Book"
"33044","19747","Book","2","19763","Book"
"33045","19764","Book","1","19747","Book"
"33046","19747","Book","2","19764","Book"
"33047","19765","Book","1","19747","Book"
"33048","19747","Book","2","19765","Book"
"33049","19766","Book","1","19747","Book"
"33050","19747","Book","2","19766","Book"
"33051","19767","Book","1","19747","Book"
"33052","19747","Book","2","19767","Book"
"33053","19749","Book","1","19748","Book"
"33054","19748","Book","2","19749","Book"
"33055","19750","Book","1","19748","Book"
"33056","19748","Book","2","19750","Book"
"33057","19751","Book","1","19748","Book"
"33058","19748","Book","2","19751","Book"
"33059","19752","Book","1","19748","Book"
"33060","19748","Book","2","19752","Book"
"33061","19753","Book","1","19748","Book"
"33062","19748","Book","2","19753","Book"
"33063","19754","Book","1","19748","Book"
"33064","19748","Book","2","19754","Book"
"33065","19755","Book","1","19748","Book"
"33066","19748","Book","2","19755","Book"
"33067","19756","Book","1","19748","Book"
"33068","19748","Book","2","19756","Book"
"33069","19757","Book","1","19748","Book"
"33070","19748","Book","2","19757","Book"
"33071","19758","Book","1","19748","Book"
"33072","19748","Book","2","19758","Book"
"33073","19759","Book","1","19748","Book"
"33074","19748","Book","2","19759","Book"
"33075","19760","Book","1","19748","Book"
"33076","19748","Book","2","19760","Book"
"33077","19761","Book","1","19748","Book"
