"id","person_id","genre_id","weight","element_type"
"838","9069","6","1","Book"
"839","9069","7","1","Book"
"840","9069","14","1","Book"
"841","5797","2","1","Book"
"842","5797","10","1","Book"
"843","6937","7","5","Book"
"844","1887","2","3","Book"
"845","1887","9","1","Book"
"846","1874","2","1","Book"
"847","8211","7","13","Book"
"848","8211","2","1","Book"
"849","923","13","3","Book"
"850","923","9","1","Book"
"851","442","6","1","Book"
"852","2418","2","63","Book"
"853","2418","10","45","Book"
"854","2418","14","23","Book"
"855","3363","7","4","Book"
"856","5023","7","38","Book"
"857","5023","14","1","Book"
"858","833","6","9","Book"
"859","9978","5","3","Book"
"860","9978","7","3","Book"
"861","9978","67","2","Book"
"862","3797","7","2","Book"
"863","3797","3","1","Book"
"864","7061","7","9","Book"
"865","7061","14","1","Book"
"866","1883","14","16","Book"
"867","1883","10","3","Book"
"868","1883","9","2","Book"
"869","7380","2","17","Book"
"870","7380","8","2","Book"
"871","13272","15","1","Book"
"872","13272","7","1","Book"
"873","4770","13","1","Book"
"874","2304","7","1","Book"
"875","2304","2","1","Book"
"876","4974","3","1","Book"
"877","9260","67","1","Book"
"878","9260","7","1","Book"
"879","2613","4","1","Book"
"880","6827","6","1","Book"
"881","7902","5","1","Book"
"882","7902","6","1","Book"
"883","4288","7","1","Book"
"884","6563","7","1","Book"
"885","7213","7","1","Book"
"886","4005","11","1","Book"
"887","4005","12","1","Book"
"888","8598","2","3","Book"
"889","8598","6","3","Book"
"890","3101","7","2","Book"
"891","4699","7","7","Book"
"892","4699","3","1","Book"
"893","7058","7","3","Book"
"894","2537","3","5","Book"
"895","2537","5","3","Book"
"896","6018","8","1","Book"
"897","6018","12","1","Book"
"898","13224","15","23","Book"
"899","13224","7","23","Book"
"900","2184","12","1","Book"
"901","2948","7","9","Book"
"902","6806","7","6","Book"
"903","4587","7","1","Book"
"904","777","7","2","Book"
"905","777","14","1","Book"
"906","5733","6","2","Book"
"907","1431","1","1","Book"
"908","5188","7","5","Book"
"909","5928","6","3","Book"
"910","5928","8","1","Book"
"911","8766","10","7","Book"
"912","9198","15","3","Book"
"913","9198","7","2","Book"
"914","4251","7","9","Book"
"915","7631","6","1","Book"
"916","389","2","1","Book"
"917","389","7","1","Book"
"918","389","6","1","Book"
"919","6013","7","42","Book"
"920","6013","6","1","Book"
"921","1387","9","2","Book"
"922","1387","10","2","Book"
"923","1387","13","2","Book"
"924","1754","7","24","Book"
"925","2751","3","1","Book"
"926","3762","7","25","Book"
"927","3762","6","3","Book"
"928","3762","5","1","Book"
"929","9259","67","1","Book"
"930","9259","7","1","Book"
"931","1425","7","23","Book"
"932","1425","6","2","Book"
"933","3955","6","3","Book"
"934","3955","2","2","Book"
"935","3955","7","1","Book"
"936","7350","6","1","Book"
"937","2618","7","11","Book"
"938","2618","14","1","Book"
"939","2618","67","1","Book"
"940","4244","7","1","Book"
"941","6208","6","1","Book"
"942","1992","7","1","Book"
"943","4754","6","2","Book"
"944","6967","7","10","Book"
"945","2137","3","20","Book"
"946","2137","14","1","Book"
"947","2137","6","1","Book"
"948","2520","7","4","Book"
"949","2829","7","3","Book"
"950","5696","7","1","Book"
"951","3127","7","8","Book"
"952","5236","15","10","Book"
"953","5236","7","10","Book"
"954","5236","3","2","Book"
"955","5902","8","1","Book"
"956","9911","7","2","Book"
"957","9911","67","2","Book"
"958","5340","2","1","Book"
"959","7362","10","1","Book"
"960","7362","2","1","Book"
"961","7119","8","1","Book"
"962","7185","7","5","Book"
"963","5806","6","2","Book"
"964","5806","3","1","Book"
"965","6676","5","6","Book"
"966","6676","7","6","Book"
"967","6676","2","1","Book"
"968","5273","3","1","Book"
"969","5273","7","1","Book"
"970","5978","15","2","Book"
"971","14554","3","1","Book"
"972","14554","7","1","Book"
"973","2666","7","12","Book"
"974","7188","8","1","Book"
"975","7188","6","1","Book"
"976","396","12","1","Book"
"977","2542","7","1","Book"
"978","4890","7","1","Book"
"979","604","2","3","Book"
"980","604","8","1","Book"
"981","604","14","1","Book"
"982","2332","14","1","Book"
"983","3173","3","1","Book"
"984","3173","12","1","Book"
"985","1877","2","2","Book"
"986","2538","6","1","Book"
"987","1732","7","1","Book"
"988","58","6","1","Book"
"989","7644","3","2","Book"
"990","7075","12","1","Book"
"991","1115","2","2","Book"
"992","1483","6","1","Book"
"993","2306","3","3","Book"
"994","5573","6","2","Book"
"995","5573","7","2","Book"
"996","5573","3","2","Book"
"997","3864","7","5","Book"
"998","3864","3","1","Book"
"999","3864","4","1","Book"
"1000","7200","6","1","Book"
"1001","6572","7","4","Book"
"1002","6572","2","2","Book"
